WebShare,NewsShare,YoutubeShare,WikipediaShare,Polls,Ideologia,PartitNou,PartitEstablert,PartitAlGovern,PartitAlOposicio,Resultats,Pais,IdeologiaEsq,IdeologiaDre,PartitESP,PartitPOR,PartitITA,PartitGRE,DaysLeft,meanWikipediaShare,minWikipediaShare,maxWikipediaShare,medianWikipediaShare,sumWikipediaShare,meanWebShare,minWebShare,maxWebShare,medianWebShare,sumWebShare,meanNewsShare,minNewsShare,maxNewsShare,medianNewsShare,sumNewsShare,meanPolls,minPolls,maxPolls,medianPolls,sumPolls,CandWebShare,CandNewsShare,CandYoutubeShare,CandWikipediaShare
23.7,61.3,17.5,18.5,33.2,-2.0,0,1,0,1,33.06,1.0,0,2,1,0,0,0,14,18.72857142857143,15.2,23.1,18.7,262.20000000000005,24.264285714285712,21.4,31.2,23.6,339.7,28.757142857142856,0.0,61.3,27.9,402.59999999999997,33.23571428571429,31.0,35.0,33.45,465.3,34.1,0.0,15.4,29.1
31.2,28.8,16.9,23.1,33.7,-2.0,0,1,0,1,33.06,1.0,0,2,1,0,0,0,13,18.72857142857143,15.2,23.1,18.7,262.20000000000005,24.264285714285712,21.4,31.2,23.6,339.7,28.757142857142856,0.0,61.3,27.9,402.59999999999997,33.23571428571429,31.0,35.0,33.45,465.3,44.0,41.4,32.4,55.6
26.0,0.0,20.0,22.7,33.2,-2.0,0,1,0,1,33.06,1.0,0,2,1,0,0,0,12,18.72857142857143,15.2,23.1,18.7,262.20000000000005,24.264285714285712,21.4,31.2,23.6,339.7,28.757142857142856,0.0,61.3,27.9,402.59999999999997,33.23571428571429,31.0,35.0,33.45,465.3,43.6,50.0,42.5,49.4
24.1,38.0,18.2,21.0,34.1,-2.0,0,1,0,1,33.06,1.0,0,2,1,0,0,0,11,18.72857142857143,15.2,23.1,18.7,262.20000000000005,24.264285714285712,21.4,31.2,23.6,339.7,28.757142857142856,0.0,61.3,27.9,402.59999999999997,33.23571428571429,31.0,35.0,33.45,465.3,36.4,0.0,36.4,41.6
23.5,48.3,17.6,16.4,33.8,-2.0,0,1,0,1,33.06,1.0,0,2,1,0,0,0,10,18.72857142857143,15.2,23.1,18.7,262.20000000000005,24.264285714285712,21.4,31.2,23.6,339.7,28.757142857142856,0.0,61.3,27.9,402.59999999999997,33.23571428571429,31.0,35.0,33.45,465.3,32.7,47.4,24.2,33.3
23.0,56.7,13.2,19.0,34.9,-2.0,0,1,0,1,33.06,1.0,0,2,1,0,0,0,9,18.72857142857143,15.2,23.1,18.7,262.20000000000005,24.264285714285712,21.4,31.2,23.6,339.7,28.757142857142856,0.0,61.3,27.9,402.59999999999997,33.23571428571429,31.0,35.0,33.45,465.3,29.5,16.1,21.6,30.5
21.6,23.7,16.2,19.9,34.6,-2.0,0,1,0,1,33.06,1.0,0,2,1,0,0,0,8,18.72857142857143,15.2,23.1,18.7,262.20000000000005,24.264285714285712,21.4,31.2,23.6,339.7,28.757142857142856,0.0,61.3,27.9,402.59999999999997,33.23571428571429,31.0,35.0,33.45,465.3,28.8,39.5,21.4,30.5
23.1,0.0,22.6,19.6,35.0,-2.0,0,1,0,1,33.06,1.0,0,2,1,0,0,0,7,18.72857142857143,15.2,23.1,18.7,262.20000000000005,24.264285714285712,21.4,31.2,23.6,339.7,28.757142857142856,0.0,61.3,27.9,402.59999999999997,33.23571428571429,31.0,35.0,33.45,465.3,22.6,31.7,12.1,23.3
22.5,22.6,16.0,18.3,34.1,-2.0,0,1,0,1,33.06,1.0,0,2,1,0,0,0,6,18.72857142857143,15.2,23.1,18.7,262.20000000000005,24.264285714285712,21.4,31.2,23.6,339.7,28.757142857142856,0.0,61.3,27.9,402.59999999999997,33.23571428571429,31.0,35.0,33.45,465.3,36.9,35.5,32.6,25.0
24.1,49.4,11.6,18.9,31.5,-2.0,0,1,0,1,33.06,1.0,0,2,1,0,0,0,5,18.72857142857143,15.2,23.1,18.7,262.20000000000005,24.264285714285712,21.4,31.2,23.6,339.7,28.757142857142856,0.0,61.3,27.9,402.59999999999997,33.23571428571429,31.0,35.0,33.45,465.3,42.1,44.6,30.8,32.0
21.4,10.3,17.2,15.5,31.0,-2.0,0,1,0,1,33.06,1.0,0,2,1,0,0,0,4,18.72857142857143,15.2,23.1,18.7,262.20000000000005,24.264285714285712,21.4,31.2,23.6,339.7,28.757142857142856,0.0,61.3,27.9,402.59999999999997,33.23571428571429,31.0,35.0,33.45,465.3,26.4,59.1,22.1,11.8
21.5,36.5,12.9,15.2,31.5,-2.0,0,1,0,1,33.06,1.0,0,2,1,0,0,0,3,18.72857142857143,15.2,23.1,18.7,262.20000000000005,24.264285714285712,21.4,31.2,23.6,339.7,28.757142857142856,0.0,61.3,27.9,402.59999999999997,33.23571428571429,31.0,35.0,33.45,465.3,24.1,44.4,15.5,14.5
29.1,0.0,16.0,17.4,32.0,-2.0,0,1,0,1,33.06,1.0,0,2,1,0,0,0,2,18.72857142857143,15.2,23.1,18.7,262.20000000000005,24.264285714285712,21.4,31.2,23.6,339.7,28.757142857142856,0.0,61.3,27.9,402.59999999999997,33.23571428571429,31.0,35.0,33.45,465.3,27.4,56.9,19.5,22.7
24.9,27.0,19.2,16.7,32.7,-2.0,0,1,0,1,33.06,1.0,0,2,1,0,0,0,1,18.72857142857143,15.2,23.1,18.7,262.20000000000005,24.264285714285712,21.4,31.2,23.6,339.7,28.757142857142856,0.0,61.3,27.9,402.59999999999997,33.23571428571429,31.0,35.0,33.45,465.3,26.4,15.6,20.3,26.7
